0:0:Places: office cubicles, office, computer room. Objects: Desk, Computer monitor, Laptop. Activities: working, studying, relaxing
200:200:Places: berth, playroom, pub indoor. Objects: Toy, Bidet, Bed. Activities: playing video games
400:400:Places: snowfield, inn outdoor, arena performance. Objects: Watch, Pastry, Drink. Activities: watching, eating, drinking
600:600:Places: canal urban, crosswalk, street. Objects: Bicycle, Stationary bicycle, Bicycle helmet. Activities: crosswalk, bicycle, street
800:800:Places: ice skating rink outdoor, snowfield, promenade. Objects: Snowman, Stairs, Segway. Activities: ice skating, snowman, segway
1000:1000:Places: ice skating rink outdoor, atrium public, playground. Objects: Skateboard, Horizontal bar, Hammer. Activities: skateboarding, atrium public, playground
1200:1200:Places: computer room, corridor, classroom. Objects: Door, Door handle, Office building. Activities: taking a photo, writing a report, and using the computer
1400:1400:Places: corridor, elevator door, server room. Objects: Door, Door handle, Mirror. Activities: door, door handle, mirror
1600:1600:Places: office cubicles, computer room, office. Objects: Desk, Office building, Computer monitor. Activities: working at a desk
1800:1800:Places: computer room, office cubicles, office. Objects: Desk, Chair, Office building. Activities: work, study, relax
2000:2000:Places: computer room, office, office cubicles. Objects: Desk, Chair, Stool. Activities: work, sit, computer
2200:2200:Places: office, home office, computer room. Objects: Desk, Laptop, Tablet computer. Activities: work, study, play
2400:2400:Places: corridor, elevator door, office. Objects: Tap, Light switch, Door handle. Activities: taking a shower, using the bathroom, and working in the office
2600:2600:Places: office cubicles, office, office building. Objects: Office building, Desk, Flying disc. Activities: flying disc, office building, desk
2800:2800:Places: office, office cubicles, corridor. Objects: Office building, Desk, Tap. Activities: drinking coffee, using the restroom, and writing
3000:3000:Places: kitchen, bathroom, restaurant kitchen. Objects: Countertop, Tap, Cooking spray. Activities: cleaning, cooking, and eating
3200:3200:Places: utility room, kitchen, restaurant kitchen. Objects: Sink, Cupboard, Kitchen appliance. Activities: cleaning, cooking, washing
